"constituency","winner_2021","winner_2026","seat_status"
"Krishnagiri","AIADMK","TVK","Flipped"
"Krishnarayapuram","DMK","TVK","Flipped"
"Kumarapalayam","AIADMK","TVK","Flipped"
"Kumbakonam","DMK","TVK","Flipped"
"Lalgudi","DMK","AIADMK","Flipped"
"Madathukulam","AIADMK","DMK","Flipped"
"Madavaram","DMK","TVK","Flipped"
"Madurai Central","DMK","TVK","Flipped"
"Madurai East","DMK","TVK","Flipped"
"Madurai North","DMK","TVK","Flipped"
"Madurai South","DMK","TVK","Flipped"
"Madurai West","AIADMK","TVK","Flipped"
"Maduravoyal","DMK","TVK","Flipped"
"Mailam","PMK","AIADMK","Flipped"
"Manamadurai","DMK","TVK","Flipped"
"Manapparai","DMK","TVK","Flipped"
"Mannargudi","DMK","AMMK","Flipped"
"Melur","AIADMK","INC","Flipped"
"Mettuppalayam","AIADMK","TVK","Flipped"
"Mettur","PMK","AIADMK","Flipped"
"Modakkurichi","BJP","TVK","Flipped"
"Musiri","DMK","TVK","Flipped"
"Mylapore","DMK","TVK","Flipped"
"Nagapattinam","VCK","DMK","Flipped"
"Nagercoil","BJP","DMK","Flipped"
"Namakkal","DMK","TVK","Flipped"
"Nanguneri","INC","TVK","Flipped"
"Neyveli","DMK","AIADMK","Flipped"
"Nilakkottai","AIADMK","TVK","Flipped"
"Orathanadu","AIADMK","DMK","Flipped"
"Ottapidaram","DMK","TVK","Flipped"
"Padmanabhapuram","DMK","CPI(M)","Flipped"
"Palani","DMK","AIADMK","Flipped"
"Palladam","AIADMK","TVK","Flipped"
"Pallavaram","DMK","TVK","Flipped"
"Panruti","DMK","AIADMK","Flipped"
"Papanasam","DMK","IUML","Flipped"
"Pennagaram","PMK","TVK","Flipped"
"Perambalur","DMK","TVK","Flipped"
"Perambur","DMK","TVK","Flipped"
"Periyakulam","DMK","TVK","Flipped"
"Pollachi","AIADMK","DMK","Flipped"
"Polur","AIADMK","TVK","Flipped"
"Ponneri","INC","TVK","Flipped"
"Poonamallee","DMK","TVK","Flipped"
"Radhapuram","DMK","TVK","Flipped"
"Rajapalayam","DMK","TVK","Flipped"
"Ranipet","DMK","TVK","Flipped"
"Rasipuram","DMK","TVK","Flipped"
"Royapuram","DMK","TVK","Flipped"
"Saidapet","DMK","TVK","Flipped"
"Salem (North)","DMK","TVK","Flipped"
"Salem (South)","AIADMK","TVK","Flipped"
"Salem (West)","PMK","TVK","Flipped"
"Sankarankovil","DMK","AIADMK","Flipped"
"Sankarapuram","DMK","AIADMK","Flipped"
"Senthamangalam","DMK","TVK","Flipped"
"Sholavandan","DMK","TVK","Flipped"
"Sholingur","INC","TVK","Flipped"
"Shozhinganallur","DMK","TVK","Flipped"
"Singanallur","AIADMK","TVK","Flipped"
"Sivaganga","AIADMK","TVK","Flipped"
"Sivakasi","INC","TVK","Flipped"
"Sriperumbudur","INC","TVK","Flipped"
"Srirangam","DMK","TVK","Flipped"
"Srivaikuntam","INC","TVK","Flipped"
"Srivilliputhur","AIADMK","TVK","Flipped"
"Sulur","AIADMK","TVK","Flipped"
"Tambaram","DMK","TVK","Flipped"
"Tenkasi","INC","DMK","Flipped"
"Thanjavur","DMK","TVK","Flipped"
"Thiru-Vi-Ka-Nagar","DMK","TVK","Flipped"
"Thirumangalam","AIADMK","DMK","Flipped"
"Thiruparankundram","AIADMK","TVK","Flipped"
"Thiruporur","VCK","TVK","Flipped"
"Thiruvallur","DMK","TVK","Flipped"
"Thiruverumbur","DMK","TVK","Flipped"
"Thiruvottiyur","DMK","TVK","Flipped"
"Thiyagarayanagar","DMK","TVK","Flipped"
"Thoothukkudi","DMK","TVK","Flipped"
"Thousand Lights","DMK","TVK","Flipped"
"Thuraiyur","DMK","TVK","Flipped"
"Tindivanam","AIADMK","VCK","Flipped"
"Tiruchengodu","DMK","TVK","Flipped"
"Tiruchirappalli (East)","DMK","TVK","Flipped"
"Tirukkoyilur","DMK","AIADMK","Flipped"
"Tirunelveli","BJP","TVK","Flipped"
"Tiruppattur","DMK","TVK","Flipped"
"Tiruppur (North)","AIADMK","TVK","Flipped"
"Tiruppur (South)","DMK","TVK","Flipped"
"Tiruttani","DMK","AIADMK","Flipped"
"Tiruvadanai","INC","TVK","Flipped"
"Udhagamandalam","INC","BJP","Flipped"
"Udumalaipettai","AIADMK","DMK","Flipped"
"Usilampatti","AIADMK","TVK","Flipped"
"Uthangarai","AIADMK","TVK","Flipped"
"Uthiramerur","DMK","TVK","Flipped"
"Valparai","AIADMK","DMK","Flipped"
"Vaniyambadi","AIADMK","IUML","Flipped"
"Vanur","AIADMK","DMK","Flipped"
"Veerapandi","AIADMK","TVK","Flipped"
"Velachery","INC","TVK","Flipped"
"Vellore","DMK","TVK","Flipped"
