"party","vote_share_2021","vote_share_2026","change"
"Makkal Sananayaga Kudiyarasu Katchi","0","0.00","0.00"
"Ahila India Dhayaga Makkal Munnetra Katchi","0","0.00","0.00"
"Indian Christian Front","0","0.00","0.00"
"Bharat Jan Chikitsa Party","0","0.00","0.00"
"Makkal Arasial Katchi","0","0.00","0.00"
"Rashtriya Samaj Dal (R)","0","0.00","0.00"
"Anaithinthiya Anna Dravida Makkal Seyal katchi","0","0.00","0.00"
"Tamil Manila Murpokku Dravida Kazhagam","0","0.00","0.00"
"Thamizhaga Dravidar Katchi","0","0.00","0.00"
"Nam India Naam Indiyar Katchi","0.00","0","0.00"
"Republican Party of India  (Sivaraj)","0.00","0","0.00"
"All Pensioner’s Party","0.00","0","0.00"
"JD(S)","0.00","0","0.00"
"Hindustan Janta Party","0.00","0","0.00"
"AITC","0.00","0","0.00"
"National Democratic Party of South India","0.00","0","0.00"
"Anaithu Makkal Munnetra Kazhagam","0.00","0","0.00"
"SHS","0.00","0","0.00"
"Namathu Kongu Munnetra Kalagam","0.00","0.00","0.00"
"Namadhu Makkal Katchi","0.00","0.00","0.00"
"Samata Party","0.00","0.00","0.00"
"Thamizhaga Munnetra Congress","0.00","0.00","0.00"
"Valamaana  Tamizhagam   Katchi","0.00","0","0.00"
"Tamilnadu Makkal Nalvazhvu Periyakkam","0.00","0","0.00"
"Naam Indiar Party","0.01","0.01","0.00"
"LJP","0.00","0","0.00"
"Anaithu Ulaga Tamilargal Munnetra Kalagam","0.00","0","0.00"
"Ambedkarite Party of India","0.00","0","0.00"
"Tamil Telugu National Party","0.00","0.00","0.00"
"SP","0.00","0","0.00"
"Anaithindia Samudaya Munnetra Kazhagam","0.00","0.00","0.00"
"Desiya Sirupanmayinar Makkal Iyakkam","0.00","0","0.00"
"Akila India Vallalar Peravai","0.00","0","0.00"
"MAKKAL SAKTHI KATCHI","0.00","0.00","0.00"
"Makkal Munnetra Peravai","0.00","0","0.00"
"Jebamani Janata","0.00","0.00","0.00"
"NPP","0.00","0","0.00"
"Kongu  Desa  Marumalarchi  Makkal  Katchi","0.00","0","0.00"
"Akhil Bharat Hindu Mahasabha","0.00","0","0.00"
"Vidial Valarchi Perani","0.00","0.00","0.00"
"Kamarajar Deseeya Congress","0.00","0.00","0.00"
"Makkal Nalvaazhvuk Katchi","0.00","0.00","0.00"
"Makkal Sananayaga Kudiyarasu Katchi,","0.00","0","0.00"
"Tipu Sultan Party","0.00","0","0.00"
"Ulaga Makkal Katchi","0.00","0","0.00"
"New Generation People's Party","0","0.00","0.00"
"Viro Ke Vir Indian Party","0","0.00","0.00"
"National Maha Sabha Party","0","0.00","0.00"
"Thamizh Desiya Munnetra Kazhagam","0","0.00","0.00"
"Akila Inthiya Makkal Marumalarchi Kazhakam","0","0.00","0.00"
"Republican Party of India (A)","0","0.00","0.00"
"Desa Makkal Munnetrak Kazhagam","0","0.00","0.00"
"Periyar Ambedkar Munnetra Kazhagam (PAMK)","0","0.00","0.00"
"India Suyarajya Party","0","0.00","0.00"
"Anna Makkal Katchi","0","0.00","0.00"
"All India Majlis-E-Inquilab-E-Millat","0","0.00","0.00"
"Tamilar Makkal Katchi","0","0.00","0.00"
"Ahimsa Socialist Party","0.01","0.00","-0.01"
"New Generation People’s Party","0.01","0","-0.01"
"Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi","0.02","0.01","-0.01"
"Anaithu Makkal Arasiyal Katchi","0.01","0","-0.01"
"NCP","0.01","0","-0.01"
"AISMK","0.01","0","-0.01"
"Dhesiya Makkal Kazhagam","0.01","0","-0.01"
"AIMIM","0.01","0","-0.01"
"Anna MGR Dravida Makkal Kalgam","0.01","0.00","-0.01"
"All India Jananayaka Makkal Kazhagam","0.01","0.00","-0.01"
"Anna Dravidar Kazhagam","0.01","0","-0.01"
"CPI(ML)(L)","0.01","0","-0.01"
